C-A10-0;C-RGRP86-0;F-RGR-BRPNOM;F-RGR-BRPEINW;F-RGR-BRPERW;F-RGR-VERVJ;F-RGR-VERKVJ
A10-2007;AT22;36856,0;30600,0;60900,0;4,4;4,3
A10-2007;AT31;47962,0;34100,0;66600,0;4,0;3,8
A10-2007;AT32;20552,0;39100,0;68100,0;4,6;4,5
A10-2007;AT33;24186,0;34700,0;64200,0;2,2;1,8
A10-2007;AT34;12846,0;35200,0;70700,0;3,8;3,4
A10-2007;ATZZ;115,0;0,0;69300,0;-3,3;0,0
A10-2007;AT1;123159,0;34800,0;70100,0;3,6;3,1
A10-2007;AT2;53390,0;30300,0;61100,0;4,5;4,3
A10-2007;AT3;105545,0;35300,0;66800,0;3,7;3,4
A10-2007;ATZ;115,0;0,0;69300,0;-3,3;0,0
A10-2008;AT111;701,0;18700,0;0,0;0,0;0,0
A10-2008;AT112;3522,0;24000,0;0,0;0,0;0,0
A10-2008;AT113;2016,0;20700,0;0,0;0,0;0,0
A10-2008;AT121;6377,0;26400,0;0,0;0,0;0,0
A10-2008;AT122;6432,0;25500,0;0,0;0,0;0,0
A10-2008;AT123;4996,0;33800,0;0,0;0,0;0,0
A10-2008;AT124;5168,0;23400,0;0,0;0,0;0,0
A10-2008;AT125;2184,0;17600,0;0,0;0,0;0,0
A10-2008;AT126;7661,0;25500,0;0,0;0,0;0,0
A10-2008;AT127;13139,0;41900,0;0,0;0,0;0,0
A10-2008;AT130;75606,0;45100,0;0,0;0,0;0,0
A10-2008;AT211;9928,0;36100,0;0,0;0,0;0,0
A10-2008;AT212;3248,0;25100,0;0,0;0,0;0,0
A10-2008;AT213;3886,0;25000,0;0,0;0,0;0,0
A10-2008;AT221;16744,0;42700,0;0,0;0,0;0,0
A10-2008;AT222;2298,0;28500,0;0,0;0,0;0,0
A10-2008;AT223;5468,0;32400,0;0,0;0,0;0,0
A10-2008;AT224;6243,0;23300,0;0,0;0,0;0,0
